#comment: signals in ppt, that is 2.47e7 molecules cm⁻³. NaNs occur, whenever there where experimental issues or (especially for C2H6S (DMS)) when there was strong crosstalk between two peaks.
localtime,C2H6S,CH4SO,C2H4OS,C2H6OS,CH4O2S,C2H6O2S
2018-05-12T18:00:00,NaN,0.019408200204361046,0.0758791117061703,0.3503563334545049,0.025623527514940767,8.711916674136402
2018-05-12T18:30:00,NaN,0.015503856973371536,0.06443109293456871,0.18992200231343606,0.034139337647787545,5.1153086622021675
2018-05-12T19:00:00,NaN,0.0114711366732413,0.04957408445526401,0.26709540213219174,0.030262225211950065,5.901860475350851
2018-05-12T19:30:00,NaN,0.026406993686966966,0.05305255556096055,0.28422864363624056,0.019548491943451197,7.364909596268496
2018-05-12T20:00:00,NaN,0.01193147763764534,0.07629970323354611,0.323457568607759,0.012750897058509007,7.580785295079414
2018-05-12T20:30:00,NaN,0.019719882863988847,0.08035468101194089,0.29555059736456896,0.019937777656866173,7.407331032547952
2018-05-12T21:00:00,NaN,0.01535565370849359,0.06944689307264101,0.39479099256267763,0.05523545217047055,8.456845659352222
2018-05-12T21:30:00,NaN,0.01592712797993089,0.031742417299843756,0.3537735661872566,0.023230687973633167,8.285383148586046
2018-05-12T22:00:00,NaN,0.01554087422000882,0.029882580050872732,0.36655550834527034,0.021239426563197855,9.415649139075057
2018-05-12T22:30:00,NaN,0.03797660793541916,0.038829232613097904,0.437308807141697,0.08284274664946419,9.816414474527111
2018-05-12T23:00:00,NaN,0.08244082372935736,0.1465225836819836,0.3682937712677284,0.17662468845959217,6.734874413504644
2018-05-12T23:30:00,NaN,0.038685282234846755,0.06964201146758503,0.36793449716658794,0.05286497989295077,9.661200128240388
2018-05-13T00:00:00,NaN,0.04582161049323744,0.05929609584705696,0.33918590697208345,0.06892196069331169,9.238314164938298
2018-05-13T00:30:00,NaN,0.029602960529497502,0.06234066262384165,0.322169630275916,0.03637226144775525,10.202392282264544
2018-05-13T01:00:00,NaN,0.028542774469276475,0.026476808885986827,0.23686427105333732,0.015115665046899098,8.003741600554944
2018-05-13T01:30:00,NaN,0.04286422109905756,0.07018528198605543,0.28096119971262223,0.04456885819818728,7.519697799397295
2018-05-13T02:00:00,NaN,0.03448604946449403,0.04640672446284912,0.26596013192667656,0.03165813421504291,8.364866748046158
2018-05-13T02:30:00,NaN,0.016764021448650645,0.029632952318733332,0.2705144744492934,0.02998339770233234,8.445025054646118
2018-05-13T03:00:00,NaN,0.020631874574483858,0.053362297870325356,0.20269086881358309,0.026312270186263732,7.620965649443409
2018-05-13T03:30:00,NaN,0.00699014842009265,0.0695073115329972,0.2685587147143132,0.025771648033328452,8.461001514094816
2018-05-13T04:00:00,NaN,0.025249628741037967,0.04470037926526952,0.27890593665231844,0.016719996166767167,8.737991797317964
2018-05-13T04:30:00,NaN,0.02236031631708148,0.07651955245376058,0.2350307823109367,0.04405562608978478,8.305680334925844
2018-05-13T05:00:00,NaN,0.01786377789617642,0.054624565809784545,0.19620214887249185,0.03103149220202599,7.099531638519221
2018-05-13T05:30:00,NaN,0.027926945137105905,0.034521996197534495,0.2088537998915107,0.010877943908766027,5.96265981697245
2018-05-13T06:00:00,NaN,0.011850753513231213,0.02492654514742558,0.20264507683228086,0.016750855808515538,6.610871730682471
2018-05-13T06:30:00,NaN,0.028155861793272886,0.040770911039951854,0.22457246346939683,0.017757347545665145,6.752556011245485
2018-05-13T07:00:00,NaN,0.026668683667668752,0.040990912770126446,0.1723315550777675,0.018126388008834475,6.111491759973838
2018-05-13T07:30:00,NaN,0.02143654421908459,0.04303230884760727,0.16053046758555303,0.01927172120370158,5.988772498412658
2018-05-13T08:00:00,NaN,0.02295532180795293,0.05508439250988377,0.168249196328519,0.029496006815589254,5.987142297579856
2018-05-13T08:30:00,NaN,0.016740224694182584,0.03753184407361176,0.13682254028289006,0.02838520288144493,5.798238574141807
2018-05-13T09:00:00,0.03977043073788809,0.0231316499755933,0.041583842160798565,0.13255352864995484,0.0323465071265094,7.124721456482602
2018-05-13T09:30:00,NaN,0.019131257559219305,0.01749386072516234,0.1319794053081767,0.017951396504984826,6.859099054042883
2018-05-13T10:00:00,NaN,0.014806110270233316,0.011966766644778314,0.17588390481489427,0.012522822877937373,9.135609313543945
2018-05-13T10:30:00,NaN,0.013785357441135517,0.039246453625433324,0.22148910692394252,0.04342326950170096,10.733746786376912
2018-05-13T11:00:00,NaN,0.04789766456118612,0.11508510221977834,0.3562887840418504,0.06517275126179999,13.660911009022442
2018-05-13T11:30:00,NaN,0.017430223563853944,0.09289602862260675,0.3469073673700113,0.08271337759483757,12.73351161653743
2018-05-13T12:00:00,NaN,0.007870832631451951,0.08198051446777686,0.23470077862883987,0.04427103707042766,8.720347662060158
2018-05-13T12:30:00,NaN,0.023309338053498246,0.07385532165635066,0.21019726550575582,0.04415673503508902,7.825209307981999
2018-05-13T13:00:00,NaN,0.01250506002469031,0.09678122792731116,0.21434720529859602,0.040649684222330874,7.7119379229535125
2018-05-13T13:30:00,NaN,0.01634462930685789,0.07622488195676486,0.20858385208713906,0.041107471480471953,7.4405413505113405
2018-05-13T14:00:00,NaN,0.01265269760852154,0.1057021318114336,0.24412538221164673,0.04426820224978044,8.118874846940615
2018-05-13T14:30:00,NaN,0.02830400509296013,0.11396438894069329,0.22674134061163628,0.04761748301581682,7.613286472679205
2018-05-13T15:00:00,NaN,0.02231124706191333,0.0979710171945443,0.18432016954662023,0.04664620211842185,6.587077656240046
2018-05-13T15:30:00,0.05073537609178398,0.023373863425211062,0.08710174855875054,0.1664699350501969,0.04363797776868134,5.493905895782966
